,user_id,item_id,30,120,480,item_text,speaker,party,state,context,subject,job,date
16,2,86,0.05,,,Jill McCabe supports late term abortions. Larger baby parts are more profitable.,Dick Black,Republican,,A tweet.,Abortion,,2015-08-04
17,2,92,0.2,,,"The difference between her and Barack Obama is ""about 35 years of experience.""",Hillary Clinton,Democrat,New York,"A campaign event in robstown, texas.",Candidates-biography,Presidential candidate,2008-02-13
18,2,97,0.6,,,"As Massachusetts governor, Mitt Romney used a line-item veto to cut millions of dollars for firefighting equipment, including firefighters coats, pants, helmets and boots.",Mahlon Mitchell,Democrat,,A news release.,"Candidates-biography, Labor, Public-safety, State-budget, Unions, Workers",,2012-06-12
19,2,101,0.5,,,"If you put the $47 billion in revenue (raised over 10 years by the Buffett rule) into infrastructure you could create 611,000 infrastructure jobs.",Sheldon Whitehouse,Democrat,Rhode Island,A speech on the floor of the u.s. senate.,"Economy, Federal-budget, Jobs, Transportation",U.s. senator,2012-04-16
20,2,104,0.0,,,Bernie Sanders admits he is a Democratic Socialist. Nazis were Democratic Socialists.,Jason Villalba,Republican,Texas,A tweet.,"Candidates-biography, History",Attorney,2015-10-13
21,2,106,0.25,,,People who signed recall petitions against Wisconsin state Sen. Jim Holperin received harassing phone calls from out-of-state telemarketers claiming to represent the Democratic Party and insinuating foul play by petition circulators.,Kim Simac,Republican,Wisconsin,A news release.,"Elections, State-budget",Leader of recall effort against wisconsin state sen. jim holperin,2011-04-29
22,2,109,0.6,,,Medicare passed with virtually no Republican support.,Peter Defazio,Democrat,Oregon,A house floor speech.,"Health-care, History, Medicare",U.s. representative,2011-04-13
23,2,115,0.4,,,"If we raise the number of third-graders who read at a third-grade level, we affect everything, from graduation rates to incarceration rates.",Ben Cannon,Democrat,Oregon,A portland monthly article.,Education,Education adviser,2012-02-06
24,2,117,0.25,,,Fundamental changes made to the language describing the Wisconsin Idea in the University of Wisconsin Systems mission statement were the result of a drafting error.,Scott Walker,Republican,Wisconsin,A tweet.,"Education, Government-efficiency, Public-service, State-budget",Milwaukee county executive,2015-02-04
25,2,118,0.6,,,More businesses went out of business last year than were started for the first time in our history.,David Perdue,Republican,Georgia,"An interview on nbc's ""meet the press daily"".",Economy,U.s. senate candidate,2016-06-02
26,2,119,0.0,,,"John Holdren, director of the White House Office of Science and Technology Policy, has proposed forcing abortions and putting sterilants in the drinking water to control population.",Glenn Beck,Other,,His tv program.,"Abortion, Pundits",,2009-07-22
27,2,120,0.4,0.2,,No fracking waste is being dumped in New York State,Basil Seggos,Other,New York,A response at a legislative hearing on water quality and contamination.,"Energy, Environment",Ny department of environmental conservation commissioner,2016-09-07
28,2,124,0.75,,,"Under legislation that has cleared the Georgia House, some children who are legal refugees could obtain state scholarships to attend private schools.",Associated Press,Other,,Article.,"Autism, Children, Disability, Education, Families, Immigration, State-budget, State-finances",Journalists,2015-03-09
29,2,125,0.75,,,Nearly 20% of our residents are born abroad.,City Austin,Other,Texas,A press release.,"City-government, Diversity, Families, Immigration, Population",,2013-11-08
30,2,131,0.5,,,Republican Rep. Charlie Dent wants to kick the Freedom Caucus out of the Republican conference for voting our conscience.,Dave Brat,Republican,Virginia,"Comments on ""meet the press"".","Congress, Congressional-rules, Corrections-and-updates",College professor,2015-10-11
31,2,201,0.2,,,"Of Donald Trump, He even said, on his very first day in office, he would require every school in America to let people carry guns into our classrooms.",Hillary Clinton,Democrat,New York,A rally in cincinnati.,Guns,Presidential candidate,2016-10-31
32,2,209,0.15,,,The last major oil spill from a drilling accident in America happened over 40 years ago in 1969.,Eric Johnson,Republican,,A blog post.,"Energy, Oil-spill",,2010-06-07
33,2,215,0.9,0.9,,Foreign aid is less than 1 percent of our federal budget.,Marco Rubio,Republican,Florida,A gop debate at the university of miami.,"Corrections-and-updates, Federal-budget, Foreign-policy",U.s. senator,2016-03-11
34,2,261,0.65,,,Russ Feingold was the only senator to vote against Homeland Security.,Let America Work,Other,Wisconsin,A tv ad.,"Candidates-biography, Homeland-security",,2016-09-01
35,2,303,0.0,0.0,,"Seniors and the disabled will have to stand in front of Obamas death panel so his bureaucrats can decide, based on a subjective judgment of their level of productivity in society, whether they are worthy of health care.",sarah-palin,Republican,Alaska,a message posted on Facebook,health-care,,2009-08-07
36,2,321,0.2,,,Today gasoline hit $6 a gallon in Florida.,ron-paul,Republican,Texas,a debate in Arizona,"energy,gas-prices,tourism",U.S. representative,2012-02-22
37,2,422,0.6,0.8,0.8,Granite Staters who hold individual policies from Anthem...can indeed renew their policies and keep their current doctors and hospitals in 2014.,carol-shea-porter,Democrat,New Hampshire,a press release,health-care,Retired social worker,2013-12-10
38,2,519,0.35,,,First eight chosen to draw Austin City Council districts are seven Democratic primary voters and one Republican primary voter.,derek-ryan,Republican,Texas,a tweet,"city-government,corrections-and-updates",Political consultant,2013-05-22
39,2,767,0.4,,,"The United States is no longer top nation in the globe on infrastructure, having fallen to 15th.",steve-cohen,Democrat,Tennessee,a speech on the floor of the U.S. House of Representatives.,infrastructure,U.S. Representative,2011-11-03
40,2,853,0.6,,,McCain has switched to Obama's position on more troops to Afghanistan.,barack-obama,Democrat,Illinois,an e-mail from Obama spokesman Bill Burton to reporters,foreign-policy,President,2008-07-19
41,2,872,0.1,0.7,,Jasper County in Texas raised property taxes by 7 percent in order to pay for one death penalty case.,ron-paul,Republican,Texas,an opinion column,"crime,criminal-justice,taxes",U.S. representative,2015-06-14
42,2,906,0.45,,,Idaho was the only Republican-led state in the nation that chose to partner with President Obama by creating a state-based marketplace under the Affordable Care Act.,russ-fulcher,Republican,Idaho,a gubernatorial debate,health-care,State Senator,2014-05-14
43,2,1074,0.1,0.15,0.45,"Under Donald Trumps tax plan, the top 0.1 percent of taxpayers -- people earning multiple millions of dollars a year, on average -- would get more tax relief than the bottom 60 percent of taxpayers combined.",jennifer-shilling,Democrat,Wisconsin,a teleconference,"income,taxes,wealth","State Assembly member, 95th District",2016-05-11
44,2,1114,0.0,,,President Barack Obamas budget threatens national security by proposing an Army of fewer personnel than we had before Pearl Harbor.,jim-sensenbrenner,Republican,Wisconsin,a town-hall meeting,"federal-budget,military",Member of Congress,2014-04-15
45,2,1200,0.65,,,"When the country was founded, Congress had exactly the same attitude about the sanctity of Christmas celebrations that a 7-Eleven does today: Yeah, were open.",jon-stewart,Other,,"a segment of ""The Daily Show""","history,pop-culture,pundits,religion",,2011-12-06
46,2,1280,0.0,0.0,0.0,"The Trans-Pacific Partnership was designed for China to come in, as they always do, through the back door and totally take advantage of everyone.",donald-trump,Republican,New York,the fourth GOP primary debate.,"china,trade",President-Elect,2015-11-10
47,2,1293,0.1,0.1,,"My opponent in November of 2008 sent a missive to the White House, to President Obama-elect, and said, Heres how you need to sell cap-and-trade to the American people.",rick-perry,Republican,Texas,a speech,"cap-and-trade,climate-change",Governor,2010-05-19
48,2,1365,0.5,,,Social Security is a Ponzi scheme.,john-loughlin,Republican,Rhode Island,a meet-the-candidates forum,social-security,"owner, Media-Rite LLC",2010-02-24
49,2,1649,0.3,0.15,,"Marco Rubio said that people who essentially don't agree with him, ought to leave the country, like Keith Olbermann.",charlie-crist,Democrat,Florida,a U.S. Senate debate on CNNÛªs ÛÏState of the Union.Û,"pundits,voting-record",,2010-10-24
50,2,1781,0.9,,,California is home to the largest death row populationin the Western Hemisphere.,yes-62-death-penalty-repeal,Other,California ,a twitter image,"death-penalty,elections",,2016-08-01
51,2,1865,0.35,,,David Dewhurst has a record of promoting an income tax.,ted-cruz,Republican,Texas,a handout.,taxes,Senator,2012-01-12
52,2,1866,0.15,,,"On most things except witch trials, Virginia will always have been first.",morgan-griffith,Republican,Virginia,an interview.,"history,states",U.S. Congressman,2012-04-03
53,2,1867,0.0,,,Even our nuclear arsenal doesnt work. It came out recently they have equipment that is 30 years old. They don't know if it worked.,donald-trump,Republican,New York,his presidential announcement speech,"military,nuclear",President-Elect,2015-06-16
54,3,9,0.4,,,A bill to eliminate Delta Air Lines jet fuel tax breaks violates federal law and puts the state at risk of losing critical funding from the Federal Aviation Administration.,Trebor Banstetter,Other,Georgia,In a statement.,"Corporations, Gas-prices, Government-regulation, State-budget, Taxes",Delta spokesman,2015-02-02
55,3,11,0.35,,,"Wisconsin Gov. Scott Walkers actions are directly responsible for killing at least 15,000 jobs.",Brett Hulsey,Democrat,,A news release.,"Jobs, State-budget",,2011-10-18
56,3,20,0.55,,,Congressmen Paul Ryan and Todd Akin co-sponsored legislation to limit federal funding for abortion to victims of forcible rape.,John Wisniewski,Democrat,New Jersey,A news release.,Abortion,State assemblyman,2012-08-21
57,3,21,0.45,,,"If you are African-American in this country today, you are likely to have a net worth of about 10 percent of what white families have.",John Edwards,Democrat,North Carolina,"A debate in myrtle beach, s.c.",Poverty,Former senator,2008-01-21
58,3,23,0.65,0.7,0.9,"In fact New Jersey is a donor state, we get 61 cents back on every dollar we send to Washington. And interestingly Kentucky gets $1.51 on every dollar they send to Washington.",Chris Christie,Republican,New Jersey,An article on nj.com.,Taxes,Governor of new jersey,2013-07-30
59,3,25,0.55,0.6,,A member of the redistricting commission proposed in Issue 2 could accept a bribe from somebody and couldnt be removed from this commission.,Jon Husted,Republican,Ohio,An interview with reporters.,"Elections, Legal-issues, Redistricting",Ohio secretary of state,2012-08-15
60,3,26,0.6,,,The majority of Austinites rent the places they live.,Mike Martinez,Democrat,Texas,As quoted in a news story.,"City-budget, City-government, Taxes","Member, austin city council",2014-08-04
61,4,14,0.7,,,We have more illegal immigrants here than we did five years ago.,Marco Rubio,Republican,Florida,"An interview on nbc's ""meet the press"".",Immigration,U.s. senator,2016-01-31
62,5,28,0.75,,,"Obama's wife wrote a paper in college that said America was a nation founded on ""crime and hatred"" and that whites in America are ""ineradicably racist.""",Chain Email,Other,,A chain e-mail.,Candidates-biography,,2008-05-13
63,8,38,0.35,,,"Statistically, law-enforcement officers die 10 years earlier than the general population.",Robert Barber,Other,Rhode Island,A providence journal commentary.,"Labor, Public-service, Retirement, State-finances",Retired police captain,2011-07-24
64,8,40,0.45,,,Nevada will be energy independent within the immediate future.,Harry Reid,Democrat,Nevada,"An interview on ""face to face with jon ralston"".","Energy, Environment",Senate democratic leader,2011-01-18
65,9,36,0.7,,,More than one-quarter of Americas young adults are too fat to serve in the U.S. military,Michelle Obama,Democrat,Illinois,A speech.,Military,,2011-02-09
66,9,45,0.65,0.8,,Some politicians want to put new taxes on a lot of groceries.,Americans Against Food Taxes,Other,"Washington, D.C.",A television commercial.,Taxes,Advocacy group,2011-02-06
67,9,51,0.5,0.2,,Rhode Island: 3% bigger at low tide.,Hilary Treadwell,Other,,An interview.,Tourism,Artist,2016-04-06
68,10,58,0.25,,,"President Obama, Sen. Harry Reid and Rep. Nancy Pelosi passed a $1.2 trillion stimulus bill.",George Allen,Republican,Virginia,Nan.,Stimulus,Consultant,2010-11-13
69,11,68,0.05,,,The stimulus created zero jobs.,National Republican Senatorial Committee,Republican,,A web ad.,"Jobs, Stimulus",,2011-10-13
70,12,72,0.35,,,"EPA regulation of greenhouse gases will endanger 575 Texas dairy facilities, 58 swine operations, 1,300 corn farms and 28,000 beef cattle operations.",Todd Staples,Republican,Texas,A campaign web post.,"Energy, Environment",State agriculture commissioner,2010-05-25
71,12,73,0.35,,,Heroin comes in the United States from the southern border.,Donald Trump,Republican,New York,An interview on cnbc.,Drugs,President-elect,2016-09-12
72,12,74,0.5,,,PolitiFact Ohio confirms that Betty Sutton maxed out federal debt,National Republican Congressional Committee,Republican,,An e-mail news release.,"Deficit, Federal-budget",,2011-06-01
73,13,77,0.5,,,"Six of the 10 richest counties in the United States surround Washington, D.C.",Mike Huckabee,Republican,Arkansas,A radio show.,"Income, Wealth",Author,2015-09-24
74,13,79,1.0,1.0,,Republican U.S. Rep. Sean Duffy voted against paying our soldiers and against increasing combat pay while voting to protect his own pay.,Democratic Congressional Campaign Committee,Democrat,,A tv ad.,"Congressional-rules, Federal-budget, Message-machine-2012, Military",,2012-08-29
75,13,195,0.3,,,"In Virginia, Medicaid has grown by 1,600 percent in the last 30 years.",William Howell,Republican,Virginia,An op-ed.,"Medicaid, State-budget",Speaker of the virginia house,2014-01-05
76,13,197,0.0,,,No federal official at any level is currently allowed to say Merry Christmas.,Newt Gingrich,Republican,Georgia,"A campaign event in davenport, iowa.",Religion,"Co-host on cnn's ""crossfire""",2011-12-19
77,13,199,0.5,,,"Except for Virginia, the other 49 states keep raising their gas tax.",Richard Saslaw,Democrat,Virginia,A news conference.,"States, Taxes, Transportation",State senate minority leader,2013-01-15
78,14,133,0.5,,,"Under Tom Barretts leadership, violent crime in Milwaukee has decreased by over 20% -- to its lowest levels in more than 20 years.",Tom Barrett,Democrat,Wisconsin,A statement on campaign web site.,"Crime, Job-accomplishments",Mayor of milwaukee,2010-09-21
79,14,135,0.15,,,Obama used $20 million in federal money to emmigrate (sic) Hamas Refugees to the USA.,Chain Email,Other,,A chain e-mail.,Foreign-policy,,2009-05-02
80,15,52,0.7,,,A $10 million fire fee proposal in St. Petersburg was inspired by Gov. Rick Scott.,Fact Check Florida,Democrat,Florida,A flier.,"City-budget, City-government, Taxes",Electioneering communications organization,2013-10-11
81,15,137,0.7,0.7,,"Under President George W. Bush, ""the national debt went from $5 trillion to $12 trillion.""",Richard Durbin,Democrat,Illinois,A senate floor speech.,"Federal-budget, History",Senator,2010-06-22
82,16,45,0.05,,,Some politicians want to put new taxes on a lot of groceries.,Americans Against Food Taxes,Other,"Washington, D.C.",A television commercial.,Taxes,Advocacy group,2011-02-06
83,16,59,0.3,0.35,,The majority of the Hispanic population and the growth (of the population) is U.S.-born.,Jose Diaz Balart,Other,,"A pundit panel segment on ""meet the press"".",Immigration,,2015-07-26
84,16,107,0.05,0.05,0.05,Tells President Barack Obama that he also asked former President George W. Bush about how he felt about Americans hating him.,Bill Oreilly,Other,,An interview with president barack obama.,"Bush-administration, Pundits",Fox news channel host,2011-02-06
85,16,138,0.6,,,An effort to repeal voting-reform legislation would be the first time in Ohio history where a bill has been passed to stop a referendum.,Eric Kearney,Democrat,Ohio,A speech in the ohio senate.,"Elections, Government-regulation",Minority leader in the ohio senate,2012-03-28
86,16,143,0.2,,,We were the last flag flying in Benghazi.,Trey Gowdy,Republican,South Carolina,"An interview on ""fox news sunday"".","Foreign-policy, Terrorism",U.s. house of representatives,2014-05-11
87,16,147,0.85,,,"In writing his book, Gov. Perry pointed out that by any measure Social Security has been a failure.",Mitt Romney,Republican,Massachusetts,The cnn-tea party express debate in tampa.,Social-security,Former governor,2011-09-12
88,16,149,0.3,,,"We were not, I repeat, were not told that waterboarding or any of these other enhanced interrogation methods were used.",Nancy Pelosi,Democrat,California,A news conference.,Terrorism,House minority leader,2009-04-23
89,16,158,0.1,,,I havent really proposed (phasing out aid to Israel) in the past.,Rand Paul,Republican,Kentucky,Comments to reporters.,"Federal-budget, Foreign-policy, Israel",Candidate for u.s. senate and physician,2014-08-04
90,16,165,0.35,0.1,0.1,"On Sandra Day O'Connor: ""I think one reason she was a good judge is she had no judicial experience"" before she joined the Supreme Court.",Harry Reid,Democrat,Nevada,A speech on the senate floor.,"Job-accomplishments, Kagan-nomination, Supreme-court",Senate democratic leader,2010-05-11
91,16,166,0.25,,,I have filed every disclosure that has ever been required.,Gail Buckner,Democrat,Georgia,Political debate.,Ethics,State senator,2010-06-27
92,16,168,0.8,,,I have repeatedly said that many of the predatory loans that were made in the mortgage system did target African-American and Latino communities.,Barack Obama,Democrat,Illinois,"A town hall in st. petersburg, fla.",Economy,President,2008-08-01
93,16,169,0.0,0.0,,No doctors who went to an American medical school will be accepting Obamacare.,Ann Coulter,Republican,New York,A column.,"Health-care, Pundits",Columnist and author,2013-10-09
94,16,174,0.4,0.4,,Republicans in Congress refuse to list a single tax loophole they are willing to close.,Barack Obama,Democrat,Illinois,Remarks to the newspaper association of america.,"Federal-budget, Taxes",President,2012-04-03
95,16,178,0.1,,,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,Shelley Moore Capito,Republican,West Virginia,A campaign ad.,"Climate-change, Energy, Environment, Government-regulation",U.s. house of representative,2014-07-29
96,16,179,0.05,,,On assault weapon violence: Ducks have more protection than people in Virginia.,Alfonso Lopez,Democrat,Virginia,A floor speech.,Guns,State delegate,2015-01-19
97,16,182,0.05,,,Social Security and Medicare are a Ponzi scheme.,Carlos Curbelo,Republican,Florida,A speech to a college gop group.,"Medicare, Social-security",Miami-dade school board member,2014-09-18
98,17,184,0.65,,,I didnt have an involvement withnutritional supplement company Mannatech.,Ben Carson,Republican,,"A republican presidential debate in boulder, colo.",Candidates-biography,,2015-10-28
99,18,50,0.05,0.0,,"The signers of the Declaration of Independence were ""brave people, most of whom, by the way, were clergymen.""",Mike Huckabee,Republican,Arkansas,Orlando.,Religion,Author,2007-10-21
100,18,188,0.05,,,"In the health care bill, were now offering insurance for dogs.",Glenn Beck,Other,,His radio program.,"Health-care, Pundits",,2009-11-12
101,18,189,0.15,,,We know that every 85 visitors create one Florida job.,Rick Scott,Republican,Florida,A press release touting a state tourism program.,"Economy, Jobs, Tourism",Governor,2011-02-28
102,18,191,0.1,,,McCain opposes a woman's right to choose.,Moveon,Democrat,,An e-mail message.,Abortion,,2008-04-05
103,18,292,0.65,,,Pete Gallego went and lobbied after you fired him from Congress.,national-republican-congressional-committee,Republican,,a TV ad,"candidates-biography,ethics",,2016-10-04
104,18,882,0.2,,,I was exonerated in every single case in 1990s ethics violations charges.,newt-gingrich,Republican,Georgia,a radio interview,ethics,"Co-host on CNN's ""Crossfire""",2012-02-10
105,18,1268,0.1,0.6,1.0,"Every illegal immigrant can be eligible for up to $36,000 to $38,000 in earned income tax credits without paying a dime in.",john-fredericks,Other,Virginia,a radio show.,"immigration,taxes",Talks show host,2015-02-28
106,18,1272,0.0,0.0,,The president by executive order could grant voting rights to illegal immigrants who are newly legalized under pending legislation.,michele-bachmann,Republican,Minnesota,an interview with World Net Daily,"elections,immigration,legal-issues",Congresswoman,2013-07-14
107,18,1274,0.05,,,"American Hustleshows the FBI making real-life bribes to Washington politicians. I know, because as your U.S. senator, I turned them down.",larry-pressler,Other,South Dakota,a campaign ad,"candidates-biography,legal-issues",Candidate for U.S. Senate,2014-02-28
108,21,322,0.55,0.55,,Your tellers were paid kickbacks for directing elderly consumers from ... safe deposits to risky ones.,rick-scott,Republican,Florida,a CNN/St. Petersburg Times debate.,"candidates-biography,ethics,financial-regulation,legal-issues",Governor,2010-10-25
109,21,654,0.35,,,"Americas gun-related homicide rate would be about the same as Belgiums if you left out California, Illinois, D.C. and New Jersey, places with some of the strictest gun control laws in the U.S.",mike-huckabee,Republican,Arkansas,a Facebook post,"crime,guns,pundits",author,2013-08-20
110,21,669,0.45,0.55,,Two-thirds of our economy is a consumer economy.,mitt-romney,Republican,Massachusetts,"Boca Raton, Fla.",economy,Former governor,2008-01-24
111,21,779,0.5,,,Donald Trumps Make America Great Againhats were made in China.,tweets,Other,,tweets,china,,2015-10-04
112,21,901,0.5,,,Freshman Rep. Bob Gibbs is spending his one year anniversary on vacation only working 6 days in all of January.,democratic-congressional-campaign-committee,Democrat,,a news release,"congress,government-efficiency,job-accomplishments",,2012-01-05
113,21,986,0.5,0.5,,Clayton County Public Schools recently achieved a milestone that has eluded other metropolitan districts across the state by meeting federal guidelines for having a highly qualified staff.,clayton-county-schools,Other,Georgia,a press release,education,,2012-07-26
114,21,1015,0.5,0.7,,The case of a Texas judge who refused to perform heterosexual weddings exposes a double standard in the case against Kentucky clerk Kim Davis.,viral-image,Other,,a Facebook post,"gays-and-lesbians,legal-issues,religion",,2015-09-07
115,21,1552,0.55,0.55,0.4,"Steve Kagen promised us jobs, voting for the $787 billion stimulus. Cost: another 77,000 jobs lost.",national-republican-congressional-committee,Republican,,a campaign TV ad,"jobs,message-machine,stimulus",,2010-10-03
116,21,1581,0.5,,,Republican redistricting plans cut Democrat Nancy Nusbaum out of her state Senate district by a half a block.,afl-cio,Other,,a blog posting,redistricting,,2011-07-13
117,21,1795,0.5,,,"The departments of Commerce, Education and Energy and the EPA saw their spending increase by between 130 percent and 219 percent between 2008 and 2010.",jeb-hensarling,Republican,Texas,"a hearing of the congressional ""Supercommittee""","federal-budget,stimulus",U.S. Congressman,2011-10-26
118,23,262,0.5,0.4,,I'm glad for the wording of it (an ethics report on corporate-sponsored Congressional trips) because clearly the wording exonerates me.,charles-rangel,Democrat,New York,a press conference,ethics,U.S. Congressman,2010-02-26
119,24,264,0.5,0.35,,"The stimulus bill includes ""$300,000 for a sculpture garden in Miami.""",eric-cantor,Republican,Virginia,an interview on the Fox News Channel.,"economy,stimulus",House Majority Leader,2009-01-23
120,24,265,0.1,0.15,0.25,Texas is last in workers compensation coverage.,sacramento-bee-editorial-board,Other,,an editorial,"labor,workers",,2013-02-06
121,24,266,0.55,,,An independent payment advisory board created by the health care reform law can ration care and deny certain Medicare treatments.,pat-boone,Other,,a television ad,"health-care,medicare,message-machine-2012",spokesman for the 60 Plus Association,2012-03-11
122,25,270,0.05,,,I remember landing under sniper fire.,hillary-clinton,Democrat,New York,"Washington, D.C.",foreign-policy,Presidential candidate,2008-03-17
123,25,271,0.15,0.2,,Gov. Scott Walker has made Wisconsin 2nd in the nation in losing jobs.,brett-hulsey,Democrat,,a news release,jobs,,2014-04-30
124,25,273,0.65,0.85,,Obama nominee Dawn Johnsen called motherhood 'involuntary servitude.',house-republicans,Republican,,a blog post.,abortion,,2009-03-23
125,28,272,0.8,0.2,,"Page 92 of the House health care bill ""says specifically that people can't purchase private health insurance after a date certain.""",michele-bachmann,Republican,Minnesota,an interview on Sean Hannity's show on the Fox News Channel.,health-care,Congresswoman,2009-10-30
126,28,275,0.75,0.85,,"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""",barack-obama,Democrat,Illinois,"a speech in Chicago, Ill.",bankruptcy,President,2008-06-11
127,28,277,0.05,,,Obamacare isnt helping anyone.,carly-fiorina,Republican,California,a Republican presidential debate in Milwaukee,health-care,,2015-11-10
128,29,275,0.25,,,"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""",barack-obama,Democrat,Illinois,"a speech in Chicago, Ill.",bankruptcy,President,2008-06-11
129,29,278,0.2,,,"A request for ""an increase in troops sat on desks in this White House (during the presidency of George W. Bush), including the vice president's, for more than eight months, a resource request filled by President Obama in March.""",robert-gibbs,Democrat,,the daily White House press conference,"afghanistan,foreign-policy,military",Former White House Press Secretary,2009-10-22
130,29,282,0.85,,,20 million people could lose their current coverage including our senior citizens who are on Medicare.,us-chamber-commerce,Other,,a TV ad,"health-care,medicare,message-machine-2012,10-news-tampa-bay",,2012-05-09
131,29,283,0.25,,,"During three and a half years of campaigning, Lamar Smith has never once appeared at a moderated debate to defend his positions on the issues.",matt-mccall,Republican,Texas,Press release,elections,Small business owner,2016-02-11
132,29,284,0.5,0.7,0.85,Georgia has the most lax gun laws in the nation.,donzella-james,Democrat,Georgia,a speech,guns,State Senator,2013-03-04
133,29,285,0.9,,,President Obamas health care law represents a government takeover of health care.,mitt-romney,Republican,Massachusetts,"a speech in Ann Arbor, Mich.",health-care,Former governor,2011-05-12
134,29,287,0.85,,,Gov. Scott Walker hired convicted Assembly Speaker Scott Jensen to oversee a raid on the state employee retirement system to help balance the state budget.,chain-email,Other,,a chain email and -- briefly -- a union web site,"labor,state-budget",,2011-01-20
135,29,288,0.45,0.45,,"Some Republicans who voted against the stimulus ""have been all too happy to claim credit for Recovery Act projects and the jobs those projects have produced. They come to the ribbon cuttings.""",barack-obama,Democrat,Illinois,a town meeting in New Hampshire,"economy,federal-budget,stimulus",President,2010-02-02
136,30,280,0.15,0.05,,"In the last 20 years, the French have not stood by the United States on foreign policy.",rick-santorum,Republican,Pennsylvania,a campaign event,"foreign-policy,history,military",,2012-02-17
137,30,281,0.15,,,Non-defense discretionary spending has increased by over 80 percent in the last two years.,robert-hurt,Republican,Virginia,an e-mail newsletter.,"deficit,federal-budget,stimulus",U.S. Congressman,2011-06-03
138,31,289,0.75,,,"McCain once said that on ""the most important issues of our day, I've been totally in agreement and support of President Bush.""",joe-biden,Democrat,Delaware,"a speech in Springfield, Ill.",bush-administration,U.S. senator,2008-08-23
139,31,290,0.25,0.1,,"A sign in Dearborn, Mich., for the Advancement of Islamic Agenda for America says, Allah be praised. America we will kill you all and nothing you can do to stop it.",facebook-posts,Other,,a meme on social media,"religion,terrorism",Social media posting,2014-11-20
